SampleID,INDEX_CLASS,TaxaID,N_Taxa,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,FFG,TOLVAL,HABIT,NONTARGET
010070-8/16/23,Narrow,Aeshnidae,4,Arthropoda,,Insecta,,Odonata,Aeshnidae,PR,5.7,CB;CN,FALSE
010070-8/16/23,Narrow,Amphipoda,14,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
010070-8/16/23,Narrow,Ancylidae,4,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,SC,6.7,CB;CN,FALSE
010070-8/16/23,Narrow,Baetidae,4,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,CG,4.6,CN;SW,FALSE
010070-8/16/23,Narrow,Brachycentridae,3,Arthropoda,,Insecta,,Trichoptera,Brachycentridae,CF,1,CN,FALSE
010070-8/16/23,Narrow,Calopterygidae,8,Arthropoda,,Insecta,,Odonata,Calopterygidae,PR,6.1,CB;CN,FALSE
010070-8/16/23,Narrow,Chironomidae,32,Arthropoda,,Insecta,,Diptera,Chironomidae,CG,5.5,,FALSE
010070-8/16/23,Narrow,Corixidae,3,Arthropoda,,Insecta,,Hemiptera,Corixidae,CG,8.2,SW,FALSE
010070-8/16/23,Narrow,Corydalidae,1,Arthropoda,,Insecta,,Megaloptera,Corydalidae,PR,4.9,CN,FALSE
010070-8/16/23,Narrow,Culicidae,1,Arthropoda,,Insecta,,Diptera,Culicidae,CF,8.1,SW,FALSE
010070-8/16/23,Narrow,Decapoda,4,Arthropoda,Crustacea,Crustacea,,Decapoda,Decapoda,CG,6.4,,FALSE
010070-8/16/23,Narrow,Elmidae,10,Arthropoda,,Insecta,,Coleoptera,Elmidae,CG,4,CN,FALSE
010070-8/16/23,Narrow,Ephemeridae,2,Arthropoda,,Insecta,,Ephemeroptera,Ephemeridae,CG,3,BU,FALSE
010070-8/16/23,Narrow,Helicopsychidae,9,Arthropoda,,Insecta,,Trichoptera,Helicopsychidae,SC,2,BU,FALSE
010070-8/16/23,Narrow,Heptageniidae,1,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,SC,1.9,CN,FALSE
010070-8/16/23,Narrow,Hirudinea,2,Annelida,,Hirudinea,Hirudinea,,,PR,NA,SP,FALSE
010070-8/16/23,Narrow,Hydracarina,2,Arthropoda,,Arachnida,,,,PR,5.5,,FALSE
010070-8/16/23,Narrow,Hydrophilidae,1,Arthropoda,,Insecta,,Coleoptera,Hydrophilidae,PR,5.4,BU;SW,FALSE
010070-8/16/23,Narrow,Hydropsychidae,14,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,CF,2.7,CN,FALSE
010070-8/16/23,Narrow,Isopoda,17,Arthropoda,Crustacea,Crustacea,,Isopoda,,SH,7.6,,FALSE
010070-8/16/23,Narrow,Leptoceridae,16,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,SH,3.6,SP;SW,FALSE
010070-8/16/23,Narrow,Limnephilidae,9,Arthropoda,,Insecta,,Trichoptera,Limnephilidae,SH,2.8,SP,FALSE
010070-8/16/23,Narrow,Molannidae,6,Arthropoda,,Insecta,,Trichoptera,Molannidae,SC,5.2,SP,FALSE
010070-8/16/23,Narrow,Oligochaeta,7,Annelida,,Oligochaeta,,Haplotaxida,,CG,NA,BU,FALSE
010070-8/16/23,Narrow,Physidae,39,Mollusca,,Gastropoda,,Basommatophora,Physidae,SC,8,CB,FALSE
010070-8/16/23,Narrow,Pisidiidae,19,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,CF,6.6,BU,FALSE
010070-8/16/23,Narrow,Planorbidae,4,Mollusca,,Gastropoda,,Basommatophora,Planorbidae,SC,6.5,CB,FALSE
010070-8/16/23,Narrow,Polycentropodidae,2,Arthropoda,,Insecta,,Trichoptera,Polycentropodidae,PR,5.5,CN,FALSE
010070-8/16/23,Narrow,Sialidae,5,Arthropoda,,Insecta,,Megaloptera,Sialidae,PR,5.1,BU,FALSE
010070-8/16/23,Narrow,Tabanidae,13,Arthropoda,,Insecta,,Diptera,Tabanidae,PR,6.3,SP,FALSE
010070-8/16/23,Narrow,Unionidae,1,Mollusca,,Bivalvia,,Unionoida,Unionidae,CF,5,BU,FALSE
010145-8/16/23,WetWide,Aeshnidae,2,Arthropoda,,Insecta,,Odonata,Aeshnidae,PR,5.7,CB;CN,FALSE
010145-8/16/23,WetWide,Amphipoda,22,Arthropoda,Crustacea,Crustacea,,Amphipoda,,SH,6.2,,FALSE
