SampleID,TaxaID,N_Taxa,INDEX_CLASS,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,FFG,HABIT,NONTARGET
010070-8/16/23,Aeshnidae,4,WestSteep,,Insecta,,Odonata,Aeshnidae,PR,CB;CN,FALSE
010070-8/16/23,Amphipoda,14,WestSteep,Crustacea,Crustacea,,Amphipoda,,SH,,FALSE
010070-8/16/23,Ancylidae,4,WestSteep,,Gastropoda,,Basommatophora,Ancylidae,SC,CB;CN,FALSE
010070-8/16/23,Baetidae,4,WestSteep,,Insecta,,Ephemeroptera,Baetidae,CG,CN;SW,FALSE
010070-8/16/23,Brachycentridae,3,WestSteep,,Insecta,,Trichoptera,Brachycentridae,CF,CN,FALSE
010070-8/16/23,Calopterygidae,8,WestSteep,,Insecta,,Odonata,Calopterygidae,PR,CB;CN,FALSE
010070-8/16/23,Chironomidae,32,WestSteep,,Insecta,,Diptera,Chironomidae,CG,,FALSE
010070-8/16/23,Corixidae,3,WestSteep,,Insecta,,Hemiptera,Corixidae,CG,SW,FALSE
010070-8/16/23,Corydalidae,1,WestSteep,,Insecta,,Megaloptera,Corydalidae,PR,CN,FALSE
010070-8/16/23,Culicidae,1,WestSteep,,Insecta,,Diptera,Culicidae,CF,SW,FALSE
010070-8/16/23,Decapoda,4,WestSteep,Crustacea,Crustacea,,Decapoda,Decapoda,CG,,FALSE
010070-8/16/23,Elmidae,10,WestSteep,,Insecta,,Coleoptera,Elmidae,CG,CN,FALSE
010070-8/16/23,Ephemeridae,2,WestSteep,,Insecta,,Ephemeroptera,Ephemeridae,CG,BU,FALSE
010070-8/16/23,Helicopsychidae,9,WestSteep,,Insecta,,Trichoptera,Helicopsychidae,SC,BU,FALSE
010070-8/16/23,Heptageniidae,1,WestSteep,,Insecta,,Ephemeroptera,Heptageniidae,SC,CN,FALSE
010070-8/16/23,Hirudinea,2,WestSteep,,Hirudinea,Hirudinea,,,PR,SP,FALSE
010070-8/16/23,Hydracarina,2,WestSteep,,Arachnida,,,,PR,,FALSE
010070-8/16/23,Hydrophilidae,1,WestSteep,,Insecta,,Coleoptera,Hydrophilidae,PR,BU;SW,FALSE
010070-8/16/23,Hydropsychidae,14,WestSteep,,Insecta,,Trichoptera,Hydropsychidae,CF,CN,FALSE
010070-8/16/23,Isopoda,17,WestSteep,Crustacea,Crustacea,,Isopoda,,SH,,FALSE
010070-8/16/23,Leptoceridae,16,WestSteep,,Insecta,,Trichoptera,Leptoceridae,SH,SP;SW,FALSE
010070-8/16/23,Limnephilidae,9,WestSteep,,Insecta,,Trichoptera,Limnephilidae,SH,SP,FALSE
010070-8/16/23,Molannidae,6,WestSteep,,Insecta,,Trichoptera,Molannidae,SC,SP,FALSE
010070-8/16/23,Oligochaeta,7,WestSteep,,Oligochaeta,,Haplotaxida,,CG,BU,FALSE
010070-8/16/23,Physidae,39,WestSteep,,Gastropoda,,Basommatophora,Physidae,SC,CB,FALSE
010070-8/16/23,Pisidiidae,19,WestSteep,,Bivalvia,,Veneroida,Pisidiidae,CF,BU,FALSE
010070-8/16/23,Planorbidae,4,WestSteep,,Gastropoda,,Basommatophora,Planorbidae,SC,CB,FALSE
010070-8/16/23,Polycentropodidae,2,WestSteep,,Insecta,,Trichoptera,Polycentropodidae,PR,CN,FALSE
010070-8/16/23,Sialidae,5,WestSteep,,Insecta,,Megaloptera,Sialidae,PR,BU,FALSE
010070-8/16/23,Tabanidae,13,WestSteep,,Insecta,,Diptera,Tabanidae,PR,SP,FALSE
010070-8/16/23,Unionidae,1,WestSteep,,Bivalvia,,Unionoida,Unionidae,CF,BU,FALSE
010145-8/16/23,Aeshnidae,2,Narrow,,Insecta,,Odonata,Aeshnidae,PR,CB;CN,FALSE
010145-8/16/23,Amphipoda,22,Narrow,Crustacea,Crustacea,,Amphipoda,,SH,,FALSE
010145-8/16/23,Ancylidae,1,Narrow,,Gastropoda,,Basommatophora,Ancylidae,SC,CB;CN,FALSE
010145-8/16/23,Athericidae,1,Narrow,,Insecta,,Diptera,Athericidae,PR,SP,FALSE
010145-8/16/23,Baetidae,11,Narrow,,Insecta,,Ephemeroptera,Baetidae,CG,CN;SW,FALSE
010145-8/16/23,Calopterygidae,2,Narrow,,Insecta,,Odonata,Calopterygidae,PR,CB;CN,FALSE
010145-8/16/23,Ceratopogonidae,3,Narrow,,Insecta,,Diptera,Ceratopogonidae,PR,BU;SP,FALSE
010145-8/16/23,Chironomidae,76,Narrow,,Insecta,,Diptera,Chironomidae,CG,,FALSE
010145-8/16/23,Decapoda,1,Narrow,Crustacea,Crustacea,,Decapoda,Decapoda,CG,,FALSE
010145-8/16/23,Elmidae,9,Narrow,,Insecta,,Coleoptera,Elmidae,CG,CN,FALSE
010145-8/16/23,Helicopsychidae,5,Narrow,,Insecta,,Trichoptera,Helicopsychidae,SC,BU,FALSE
010145-8/16/23,Heptageniidae,1,Narrow,,Insecta,,Ephemeroptera,Heptageniidae,SC,CN,FALSE
010145-8/16/23,Hirudinea,1,Narrow,,Hirudinea,Hirudinea,,,PR,SP,FALSE
010145-8/16/23,Hydracarina,11,Narrow,,Arachnida,,,,PR,,FALSE
010145-8/16/23,Hydropsychidae,59,Narrow,,Insecta,,Trichoptera,Hydropsychidae,CF,CN,FALSE
010145-8/16/23,Hydroptilidae,11,Narrow,,Insecta,,Trichoptera,Hydroptilidae,SC,CN,FALSE
010145-8/16/23,Isopoda,7,Narrow,Crustacea,Crustacea,,Isopoda,,SH,,FALSE
010145-8/16/23,Limnephilidae,1,Narrow,,Insecta,,Trichoptera,Limnephilidae,SH,SP,FALSE
010145-8/16/23,Lymnaeidae,1,Narrow,,Gastropoda,,Basommatophora,Lymnaeidae,SC,CB,FALSE
010145-8/16/23,Mesoveliidae,2,Narrow,,Insecta,,Hemiptera,Mesoveliidae,PR,SK,FALSE
010145-8/16/23,Oligochaeta,11,Narrow,,Oligochaeta,,Haplotaxida,,CG,BU,FALSE
010145-8/16/23,Physidae,4,Narrow,,Gastropoda,,Basommatophora,Physidae,SC,CB,FALSE
010145-8/16/23,Polycentropodidae,3,Narrow,,Insecta,,Trichoptera,Polycentropodidae,PR,CN,FALSE
010145-8/16/23,Sialidae,1,Narrow,,Insecta,,Megaloptera,Sialidae,PR,BU,FALSE
010145-8/16/23,Tabanidae,1,Narrow,,Insecta,,Diptera,Tabanidae,PR,SP,FALSE
010145-8/16/23,Unionidae,1,Narrow,,Bivalvia,,Unionoida,Unionidae,CF,BU,FALSE
010146-8/16/23,Amphipoda,29,WetWide,Crustacea,Crustacea,,Amphipoda,,SH,,FALSE
010146-8/16/23,Ancylidae,1,WetWide,,Gastropoda,,Basommatophora,Ancylidae,SC,CB;CN,FALSE
010146-8/16/23,Baetidae,15,WetWide,,Insecta,,Ephemeroptera,Baetidae,CG,CN;SW,FALSE
010146-8/16/23,Calopterygidae,9,WetWide,,Insecta,,Odonata,Calopterygidae,PR,CB;CN,FALSE
010146-8/16/23,Chironomidae,96,WetWide,,Insecta,,Diptera,Chironomidae,CG,,FALSE
010146-8/16/23,Cordulegastridae,1,WetWide,,Insecta,,Odonata,Cordulegastridae,PR,BU,FALSE
010146-8/16/23,Corydalidae,5,WetWide,,Insecta,,Megaloptera,Corydalidae,PR,CN,FALSE
010146-8/16/23,Decapoda,3,WetWide,Crustacea,Crustacea,,Decapoda,Decapoda,CG,,FALSE
010146-8/16/23,Dixidae,1,WetWide,,Insecta,,Diptera,Dixidae,CG,SW,FALSE
010146-8/16/23,Elmidae,1,WetWide,,Insecta,,Coleoptera,Elmidae,CG,CN,FALSE
010146-8/16/23,Heptageniidae,1,WetWide,,Insecta,,Ephemeroptera,Heptageniidae,SC,CN,FALSE
010146-8/16/23,Hydracarina,1,WetWide,,Arachnida,,,,PR,,FALSE
010146-8/16/23,Hydropsychidae,2,WetWide,,Insecta,,Trichoptera,Hydropsychidae,CF,CN,FALSE
010146-8/16/23,Leptoceridae,4,WetWide,,Insecta,,Trichoptera,Leptoceridae,SH,SP;SW,FALSE
010146-8/16/23,Limnephilidae,1,WetWide,,Insecta,,Trichoptera,Limnephilidae,SH,SP,FALSE
010146-8/16/23,Mesoveliidae,4,WetWide,,Insecta,,Hemiptera,Mesoveliidae,PR,SK,FALSE
010146-8/16/23,Molannidae,2,WetWide,,Insecta,,Trichoptera,Molannidae,SC,SP,FALSE
010146-8/16/23,Oligochaeta,3,WetWide,,Oligochaeta,,Haplotaxida,,CG,BU,FALSE
010146-8/16/23,Phryganeidae,1,WetWide,,Insecta,,Trichoptera,Phryganeidae,SH,CB;CN,FALSE
010146-8/16/23,Physidae,23,WetWide,,Gastropoda,,Basommatophora,Physidae,SC,CB,FALSE
010146-8/16/23,Pisidiidae,9,WetWide,,Bivalvia,,Veneroida,Pisidiidae,CF,BU,FALSE
010146-8/16/23,Planorbidae,1,WetWide,,Gastropoda,,Basommatophora,Planorbidae,SC,CB,FALSE
010146-8/16/23,Polycentropodidae,1,WetWide,,Insecta,,Trichoptera,Polycentropodidae,PR,CN,FALSE
010146-8/16/23,Sialidae,28,WetWide,,Insecta,,Megaloptera,Sialidae,PR,BU,FALSE
010146-8/16/23,Tabanidae,3,WetWide,,Insecta,,Diptera,Tabanidae,PR,SP,FALSE
010147-8/16/23,Aeshnidae,4,Narrow,,Insecta,,Odonata,Aeshnidae,PR,CB;CN,FALSE
010147-8/16/23,Amphipoda,30,Narrow,Crustacea,Crustacea,,Amphipoda,,SH,,FALSE
010147-8/16/23,Ancylidae,5,Narrow,,Gastropoda,,Basommatophora,Ancylidae,SC,CB;CN,FALSE
010147-8/16/23,Athericidae,6,Narrow,,Insecta,,Diptera,Athericidae,PR,SP,FALSE
010147-8/16/23,Baetidae,4,Narrow,,Insecta,,Ephemeroptera,Baetidae,CG,CN;SW,FALSE
010147-8/16/23,Calopterygidae,2,Narrow,,Insecta,,Odonata,Calopterygidae,PR,CB;CN,FALSE
010147-8/16/23,Ceratopogonidae,3,Narrow,,Insecta,,Diptera,Ceratopogonidae,PR,BU;SP,FALSE
010147-8/16/23,Chironomidae,39,Narrow,,Insecta,,Diptera,Chironomidae,CG,,FALSE
010147-8/16/23,Cordulegastridae,4,Narrow,,Insecta,,Odonata,Cordulegastridae,PR,BU,FALSE
010147-8/16/23,Corydalidae,3,Narrow,,Insecta,,Megaloptera,Corydalidae,PR,CN,FALSE
010147-8/16/23,Elmidae,23,Narrow,,Insecta,,Coleoptera,Elmidae,CG,CN,FALSE
010147-8/16/23,Gerridae,1,Narrow,,Insecta,,Hemiptera,Gerridae,PR,SK,FALSE
010147-8/16/23,Glossosomatidae,1,Narrow,,Insecta,,Trichoptera,Glossosomatidae,SC,CN,FALSE
010147-8/16/23,Heptageniidae,11,Narrow,,Insecta,,Ephemeroptera,Heptageniidae,SC,CN,FALSE
010147-8/16/23,Hydracarina,2,Narrow,,Arachnida,,,,PR,,FALSE
010147-8/16/23,Hydrophilidae,4,Narrow,,Insecta,,Coleoptera,Hydrophilidae,PR,BU;SW,FALSE
010147-8/16/23,Hydropsychidae,41,Narrow,,Insecta,,Trichoptera,Hydropsychidae,CF,CN,FALSE
010147-8/16/23,Leptoceridae,8,Narrow,,Insecta,,Trichoptera,Leptoceridae,SH,SP;SW,FALSE
010147-8/16/23,Limnephilidae,2,Narrow,,Insecta,,Trichoptera,Limnephilidae,SH,SP,FALSE
010147-8/16/23,Mesoveliidae,4,Narrow,,Insecta,,Hemiptera,Mesoveliidae,PR,SK,FALSE
010147-8/16/23,Molannidae,1,Narrow,,Insecta,,Trichoptera,Molannidae,SC,SP,FALSE
010147-8/16/23,Philopotamidae,1,Narrow,,Insecta,,Trichoptera,Philopotamidae,CF,CN,FALSE
010147-8/16/23,Physidae,25,Narrow,,Gastropoda,,Basommatophora,Physidae,SC,CB,FALSE
010147-8/16/23,Pisidiidae,18,Narrow,,Bivalvia,,Veneroida,Pisidiidae,CF,BU,FALSE
010147-8/16/23,Polycentropodidae,2,Narrow,,Insecta,,Trichoptera,Polycentropodidae,PR,CN,FALSE
010147-8/16/23,Sialidae,15,Narrow,,Insecta,,Megaloptera,Sialidae,PR,BU,FALSE
010147-8/16/23,Simuliidae,5,Narrow,,Insecta,,Diptera,Simulidae,CF,CN,FALSE
010147-8/16/23,Tabanidae,8,Narrow,,Insecta,,Diptera,Tabanidae,PR,SP,FALSE
010147-8/16/23,Tipulidae,3,Narrow,,Insecta,,Diptera,Tipulidae,CG,BU,FALSE
010147-8/16/23,Uenoidae,1,Narrow,,Insecta,,Trichoptera,Uenoidae,SC,CN,FALSE
010147-8/16/23,Unionidae,1,Narrow,,Bivalvia,,Unionoida,Unionidae,CF,BU,FALSE
030602-9/13/23,Amphipoda,7,East,Crustacea,Crustacea,,Amphipoda,,SH,,FALSE
030602-9/13/23,Ancylidae,29,East,,Gastropoda,,Basommatophora,Ancylidae,SC,CB;CN,FALSE
030602-9/13/23,Baetidae,16,East,,Insecta,,Ephemeroptera,Baetidae,CG,CN;SW,FALSE
030602-9/13/23,Calopterygidae,12,East,,Insecta,,Odonata,Calopterygidae,PR,CB;CN,FALSE
030602-9/13/23,Chironomidae,40,East,,Insecta,,Diptera,Chironomidae,CG,,FALSE
030602-9/13/23,Coenagrionidae,1,East,,Insecta,,Odonata,Coenagrionidae,PR,CB;SP,FALSE
030602-9/13/23,Corixidae,13,East,,Insecta,,Hemiptera,Corixidae,CG,SW,FALSE
030602-9/13/23,Decapoda,3,East,Crustacea,Crustacea,,Decapoda,Decapoda,CG,,FALSE
030602-9/13/23,Dryopidae,1,East,,Insecta,,Coleoptera,Dryopidae,SC,CB;CN,FALSE
030602-9/13/23,Elmidae,39,East,,Insecta,,Coleoptera,Elmidae,CG,CN,FALSE
030602-9/13/23,Haliplidae,1,East,,Insecta,,Coleoptera,Haliplidae,SH,,FALSE
030602-9/13/23,Heptageniidae,4,East,,Insecta,,Ephemeroptera,Heptageniidae,SC,CN,FALSE
030602-9/13/23,Hirudinea,10,East,,Hirudinea,Hirudinea,,,PR,SP,FALSE
030602-9/13/23,Hydracarina,2,East,,Arachnida,,,,PR,,FALSE
030602-9/13/23,Hydropsychidae,10,East,,Insecta,,Trichoptera,Hydropsychidae,CF,CN,FALSE
030602-9/13/23,Isopoda,6,East,Crustacea,Crustacea,,Isopoda,,SH,,FALSE
030602-9/13/23,Leptoceridae,1,East,,Insecta,,Trichoptera,Leptoceridae,SH,SP;SW,FALSE
030602-9/13/23,Oligochaeta,5,East,,Oligochaeta,,Haplotaxida,,CG,BU,FALSE
030602-9/13/23,Physidae,2,East,,Gastropoda,,Basommatophora,Physidae,SC,CB,FALSE
030602-9/13/23,Pisidiidae,58,East,,Bivalvia,,Veneroida,Pisidiidae,CF,BU,FALSE
030602-9/13/23,Simuliidae,6,East,,Insecta,,Diptera,Simulidae,CF,CN,FALSE
030602-9/13/23,Tipulidae,1,East,,Insecta,,Diptera,Tipulidae,CG,BU,FALSE
030602-9/13/23,Unionidae,1,East,,Bivalvia,,Unionoida,Unionidae,CF,BU,FALSE
030602-9/13/23,Veliidae,1,East,,Insecta,,Hemiptera,Veliidae,PR,SK,FALSE
030602-9/13/23,Viviparidae,14,East,,Gastropoda,,Architaenioglossa,Viviparidae,SC,CB,FALSE
