VisitID,TAXAID,N_TAXA,STORETNo,WaterbodyName,Lat,Long,AvgWidth
010070-8/16/23,Hirudinea (leech),2,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Oligochaeta (worms),7,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Amphipoda (scuds),14,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Decapoda (crayfeish),4,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Isopoda (sowbugs),17,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Hydracarina,2,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Baetidae,4,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Ephemerida,2,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Heptageniidae,1,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Aeshnidae,4,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Calopterygidae,8,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Corixidae,3,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Corydalidae (Dobson flies),1,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Sialidae (alder flies),5,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Brachycentridae,3,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Helicopsychidae,9,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Hydropsychidae,14,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Leptoceridae,16,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Limnephilidae,9,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Molannidae,6,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Polycentropodidae,2,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Hydrophilidae (total),1,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Elmidae,10,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Chironomidae,32,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Culicidae,1,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Tabanidae,13,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Ancylidae (limpets),4,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Physidae,39,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Planorbidae,4,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Pisidiidae,19,10070,Black River,44.8011,-83.3239,19.3
010070-8/16/23,Unionidae (mussels),1,10070,Black River,44.8011,-83.3239,19.3
010145-8/16/23,Hirudinea (leeches),1,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Oligochaeta (worms),11,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Amphipoda (scuds),22,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Decapoda (crayfish),1,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Isopoda (sowbugs),7,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Hydracarina,11,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Baetidae,11,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Heptageniidae,1,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Aeshnidae,2,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Calopterygidae,2,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Mesoveliidae,2,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Sialidae (alder flies),1,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Helicopsychidae,5,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Hydropsychidae,59,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Hydroptilidae,11,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Limnephilidae,1,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Polycentropodidae,3,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Elmidae,9,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Athericidae,1,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Ceratopogonidae,3,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Chironomidae,76,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Tabanidae,1,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Ancylidae (limpets),1,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Lymnaeidae,1,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Physidae,4,10145,Black River,44.8011,-83.3238,23
010145-8/16/23,Unionidae (mussels),1,10145,Black River,44.8011,-83.3238,23
010146-8/16/23,Oligochaeta (worms),3,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Amphipoda (scuds),29,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Decapoda (crayfish),3,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Hydracarina,1,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Baetidae,15,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Heptageniidae,1,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Cordulegastridae,1,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Calopterygidae,9,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Mesoveliidae,4,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Corydalidae (Dobson flies),5,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Sialidae (alder flies),28,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Hydropsychidae,2,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Leptoceridae,4,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Limnephilidae,1,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Molannidae,2,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Phryganeidae,1,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Polycentropodidae,1,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Elmidae,1,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Chironomidae,96,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Dixidae,1,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Tabanidae,3,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Ancylidae (limpets),1,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Physidae,23,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Planorbidae,1,10146,Black River,44.7289,-83.3313,13.3
010146-8/16/23,Pisidiidae,9,10146,Black River,44.7289,-83.3313,13.3
010147-8/16/23,Amphipoda (scuds),30,10147,Black River,44.7291,-83.3314,13.7
010147-8/16/23,Hydracarina,2,10147,Black River,44.7291,-83.3314,13.7
010147-8/16/23,Baetidae,4,10147,Black River,44.7291,-83.3314,13.7
010147-8/16/23,Heptageniidae,11,10147,Black River,44.7291,-83.3314,13.7
010147-8/16/23,Aeshnidae,4,10147,Black River,44.7291,-83.3314,13.7
010147-8/16/23,Cordulegastridae,4,10147,Black River,44.7291,-83.3314,13.7
010147-8/16/23,Calopterygidae,2,10147,Black River,44.7291,-83.3314,13.7
010147-8/16/23,Gerridae,1,10147,Black River,44.7291,-83.3314,13.7
010147-8/16/23,Mesoveliidae,4,10147,Black River,44.7291,-83.3314,13.7
