"TAXAID","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","ORDER","FAMILY","FFG","TOLVAL","HABIT","NONTARGET"
"Chrysomelidae","Arthropoda",,"Insecta",,"Coleoptera","Chrysomelidae","SH",8,"CN",FALSE
"Curculionidae","Arthropoda",,"Insecta",,"Coleoptera","Curculionidae","SH",6,"BU",FALSE
"Aeshnidae","Arthropoda",,"Insecta",,"Odonata","Aeshnidae","PR",5.7,"CB;CN",FALSE
"Gyrinidae","Arthropoda",,"Insecta",,"Coleoptera","Gyrinidae","PR",4.1,"SW",FALSE
"Haliplidae","Arthropoda",,"Insecta",,"Coleoptera","Haliplidae","SH",7.3,,FALSE
"Lampyridae","Arthropoda",,"Insecta",,"Coleoptera","Lampyridae","PR",,,FALSE
"Limnichidae","Arthropoda",,"Insecta",,"Coleoptera","Limnichidae","CG",,,FALSE
"Ameletidae","Arthropoda",,"Insecta",,"Ephemeroptera","Ameletidae","CG",,,FALSE
"Ametropodidae","Arthropoda",,"Insecta",,"Ephemeroptera","Ametropodidae","CF",,"BU",FALSE
"Amphipoda","Arthropoda","Crustacea","Crustacea",,"Amphipoda",,"SH",6.2,,FALSE
"Ancylidae","Mollusca",,"Gastropoda",,"Basommatophora","Ancylidae","SC",6.7,"CB;CN",FALSE
"Anisoptera","Arthropoda",,"Insecta",,"Odonata","Anisoptera","PR",4.7,,FALSE
"Annelida","Annelida",,,,,,,,"BU",FALSE
"Noteridae","Arthropoda",,"Insecta",,"Coleoptera","Noteridae","PR",7.1,"CB",FALSE
"Apataniidae","Arthropoda",,"Insecta",,"Trichoptera","Apataniidae",,,,FALSE
"Psephenidae","Arthropoda",,"Insecta",,"Coleoptera","Psephenidae","SH;SC",3.9,"CN",FALSE
"Ptilodactylidae","Arthropoda",,"Insecta",,"Coleoptera","Ptilodactylidae","SH",3.8,"CN;SP",FALSE
"Arachnoidea","Arthropoda",,"Arachnida",,,,,,,FALSE
"Arthropleidae","Arthropoda",,"Insecta",,"Ephemeroptera","Arthropledidae",,,,FALSE
"Arthropoda","Arthropoda",,,,,,,,,FALSE
"Scirtidae","Arthropoda",,"Insecta",,"Coleoptera","Scirtidae","SC",6,"CB",FALSE
"Athericidae","Arthropoda",,"Insecta",,"Diptera","Athericidae","PR",2,"SP",FALSE
"Baetidae","Arthropoda",,"Insecta",,"Ephemeroptera","Baetidae","CG",4.6,"CN;SW",FALSE
"Baetiscidae","Arthropoda",,"Insecta",,"Ephemeroptera","Baetiscidae","CG",3.3,"BU;CN;SP",FALSE
"Belostomatidae","Arthropoda",,"Insecta",,"Hemiptera","Belostomatidae","PR",9.9,"CB;SW",FALSE
"Bithyniidae","Mollusca",,"Gastropoda",,"Littorinimorpha","Bithyniidae","SC",,"CN",FALSE
"Blephariceridae","Arthropoda",,"Insecta",,"Diptera","Blephariceridae",,,,FALSE
"Brachycentridae","Arthropoda",,"Insecta",,"Trichoptera","Brachycentridae","CF",1,"CN",FALSE
"Bryozoa","Bryozoa",,,,,,"CG",,,FALSE
"Caenidae","Arthropoda",,"Insecta",,"Ephemeroptera","Caenidae","CG",4.2,"BU;SP",FALSE
"Calopterygidae","Arthropoda",,"Insecta",,"Odonata","Calopterygidae","PR",6.1,"CB;CN",FALSE
"Capniidae","Arthropoda",,"Insecta",,"Plecoptera",,"SH",1.4,"CN;SP",FALSE
"Ceratopogonidae","Arthropoda",,"Insecta",,"Diptera","Ceratopogonidae","PR",6.3,"BU;SP",FALSE
"Chaoboridae","Arthropoda",,"Insecta",,"Diptera","Chaoboridae","PR",8.2,"SP",FALSE
"Chironomidae","Arthropoda",,"Insecta",,"Diptera","Chironomidae","CG",5.5,,FALSE
"Chloroperlidae","Arthropoda",,"Insecta",,"Plecoptera","Chloroperlidae","PR",0.7,"CN",FALSE
"Coenagrionidae","Arthropoda",,"Insecta",,"Odonata","Coenagrionidae","PR",8.1,"CB;SP",FALSE
"Coleoptera","Arthropoda",,"Insecta",,"Coleoptera",,,5.3,,FALSE
"Corbicula","Mollusca",,"Bivalvia",,"Veneroida","Corbiculidae","CF",,,FALSE
"Cordulegastridae","Arthropoda",,"Insecta",,"Odonata","Cordulegastridae","PR",2.9,"BU",FALSE
"Corduliidae","Arthropoda",,"Insecta",,"Odonata","Corduliidae","PR",4.4,"SP",FALSE
